frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.470000000000000000e+02,1.541406719999999950e+02,2.055000000000000000e+03,3.553871128783372058e+01,5.517241379310344751e-02,2.175000000000000000e+03
1.480000000000000000e+02,1.551892479999999921e+02,2.067000000000000000e+03,3.608785575970583182e+01,5.616438356164388246e-02,2.190000000000000000e+03
1.490000000000000000e+02,1.562378239999999892e+02,2.080000000000000000e+03,3.637306695894642417e+01,5.668934240362810684e-02,2.205000000000000000e+03
1.500000000000000000e+02,1.572863999999999862e+02,2.094000000000000000e+03,3.527510926040248762e+01,5.675675675675673215e-02,2.220000000000000000e+03
1.510000000000000000e+02,1.583349759999999833e+02,2.109000000000000000e+03,3.585154575933000842e+01,5.637583892617448189e-02,2.235000000000000000e+03
1.520000000000000000e+02,1.593835519999999804e+02,2.120000000000000000e+03,3.696394639825857809e+01,5.777777777777781676e-02,2.250000000000000000e+03
1.530000000000000000e+02,1.604321280000000058e+02,2.132000000000000000e+03,3.608785575970583182e+01,5.871964679911700902e-02,2.265000000000000000e+03
1.540000000000000000e+02,1.614807040000000029e+02,2.148000000000000000e+03,3.674688195389281731e+01,5.789473684210522109e-02,2.280000000000000000e+03
1.550000000000000000e+02,1.625292800000000000e+02,2.161000000000000000e+03,3.674688195389281731e+01,5.838779956427020412e-02,2.295000000000000000e+03
1.560000000000000000e+02,1.635778559999999970e+02,2.171000000000000000e+03,3.464101615137754919e+01,6.017316017316021171e-02,2.310000000000000000e+03
1.570000000000000000e+02,1.646264319999999941e+02,2.184000000000000000e+03,3.642801120017396954e+01,6.064516129032260228e-02,2.325000000000000000e+03
1.580000000000000000e+02,1.656750079999999912e+02,2.200000000000000000e+03,3.380828300875393211e+01,5.982905982905983855e-02,2.340000000000000000e+03
1.590000000000000000e+02,1.667235839999999882e+02,2.211000000000000000e+03,3.521836642056717182e+01,6.114649681528661063e-02,2.355000000000000000e+03
1.600000000000000000e+02,1.677721599999999853e+02,2.225000000000000000e+03,3.611555528208494081e+01,6.118143459915614812e-02,2.370000000000000000e+03
1.610000000000000000e+02,1.688207359999999824e+02,2.236000000000000000e+03,3.551056180912940619e+01,6.247379454926627051e-02,2.385000000000000000e+03
1.620000000000000000e+02,1.698693119999999794e+02,2.250000000000000000e+03,3.553871128783372058e+01,6.250000000000000000e-02,2.400000000000000000e+03
1.630000000000000000e+02,1.709178880000000049e+02,2.258000000000000000e+03,3.724244889907214429e+01,6.501035196687365847e-02,2.415000000000000000e+03
1.640000000000000000e+02,1.719664640000000020e+02,2.275000000000000000e+03,3.435597958628648030e+01,6.378600823045266210e-02,2.430000000000000000e+03
1.650000000000000000e+02,1.730150399999999991e+02,2.287000000000000000e+03,3.869539162915053510e+01,6.462167689161557593e-02,2.445000000000000000e+03
1.660000000000000000e+02,1.740636159999999961e+02,2.301000000000000000e+03,3.611555528208494081e+01,6.463414634146336102e-02,2.460000000000000000e+03
1.670000000000000000e+02,1.751121919999999932e+02,2.312000000000000000e+03,3.551056180912940619e+01,6.585858585858583858e-02,2.475000000000000000e+03
1.680000000000000000e+02,1.761607679999999903e+02,2.329000000000000000e+03,3.674688195389281731e+01,6.465863453815257067e-02,2.490000000000000000e+03
1.690000000000000000e+02,1.772093439999999873e+02,2.340000000000000000e+03,3.406366588218791946e+01,6.586826347305385632e-02,2.505000000000000000e+03
1.700000000000000000e+02,1.782579199999999844e+02,2.356000000000000000e+03,3.351989459012861516e+01,6.507936507936507020e-02,2.520000000000000000e+03
1.710000000000000000e+02,1.793064959999999814e+02,2.364000000000000000e+03,3.666515148384544176e+01,6.745562130177518156e-02,2.535000000000000000e+03
1.720000000000000000e+02,1.803550719999999785e+02,2.378000000000000000e+03,3.435597958628648030e+01,6.745098039215691177e-02,2.550000000000000000e+03
